#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCvalyrian_steel.101A;Your [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] brings good news of [Root.job_spymaster.GetHerHis] mission to find [sword_to_reforge.GetName]! [Root.job_spymaster.GetSheHeCap] says [Root.job_spymaster.GetHerHis] agents overhead the blacksmith drunkenly boasting of the sword in a tavern in [valyrian_steel_blacksmith.Location.GetName], and so hired some men to track him and have him killed. The sword is now back in your possession.;Votre [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] apporte de bonnes nouvelles de sa mission de recherche de [valyrian_steel_blacksmith.GetValyrianSwordOwned] ! [Root.job_spymaster.GetSheHeCap] dit que ses agents ont surpris le forgeron ivre et se vantant de l'épée dans une taverne à [valyrian_steel_blacksmith.Location.GetName], ils ont engagé des hommes pour le suivre et le tuer. L'épée est à nouveau en votre possession.;;;Su [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] trae buenas noticias de su misión para buscar [Root.job_spymaster.GetHerHis] para encontrar [valyrian_steel_blacksmith.GetValyrianSwordOwned]! [Root.job_spymaster.GetSheHeCap] dice a los agentes [Root.job_spymaster.GetHerHis] sorprendieron al herrero borracho y se jactaba de la espada en una taberna en [valyrian_steel_blacksmith.Location.GetName], por lo que contrató a algunos hombres para rastrearlo y matarlo. La espada ahora está de vuelta en tu posesión.;;;;;;;;;x
EVTDESCvalyrian_steel.101B;[Root.job_spymaster.GetTitledFirstName] has found the rogue blacksmith! [Root.job_spymaster.GetSheHeCap] hired many spies to roam the streets of [valyrian_steel_blacksmith.Location.GetName], looking and listening for signs of the sword. The blacksmith was eventually kidnapped, and has been brought here with [sword_to_reforge.GetName] to [Root.Capital.GetName].;[Root.job_spymaster.GetTitledFirstName] a trouvé le forgeron félon ! [Root.job_spymaster.GetSheHeCap] a engagé de nombreux espions pour parcourir les rues de [valyrian_steel_blacksmith.Location.GetName], à la recherche de signes de l'épée. Le forgeron a été finalement kidnappé et a été amené avec [valyrian_steel_blacksmith.GetValyrianSwordOwned] à [Root.Capital.GetName].;;;[Root.job_spymaster.GetTitledFirstName] ha encontrado al herrero deshonesto. [Root.job_spymaster.GetSheHeCap] contrató a muchos espías para buscar por las calles de [valyrian_steel_blacksmith.Location.GetName], buscando y buscando signos de la espada. El herrero fue finalmente secuestrado, y lo trajeron aquí con [valyrian_steel_blacksmith.GetValyrianSwordOwned] a [Root.Capital.GetName];;;;;;;;;x
EVTDESCvalyrian_steel.101C;The sword that was stolen has been found! [Root.job_spymaster.GetTitledFirstName] issued a bounty for both [sword_to_reforge.GetName] and the blacksmith's head, and so a sellsword from [valyrian_steel_blacksmith.Location.GetName] eventually came forward. He says he obtained the sword from the blacksmith, but soon realised the identity of the true owner and came to [Root.Capital.GetName] to claim the reward.;L'épée qui a été volée a été trouvée ! [Root.job_spymaster.GetTitledFirstName] a promis une récompense pour [valyrian_steel_blacksmith.GetValyrianSwordOwned] et la tête du forgeron, finalement un reître de [valyrian_steel_blacksmith.Location.GetName] a fini par se manifester. Il dit qu'il acquit l'épée auprès du forgeron mais qu'il a vite réalisé l'identité du véritable propriétaire de l'épée et il est venu à [Root.Capital.GetName] pour réclamer sa récompense.;;;¡Se ha encontrado la espada que fue robada! [Root.job_spymaster.GetTitledFirstName] emitió una recompensa por ambos [valyrian_steel_blacksmith.GetValyrianSwordOwned] y por la cabeza del herrero, por lo que una palabra de venta de [valyrian_steel_blacksmith.Location.GetName] finalmente apareció. Él dice que obtuvo la espada del herrero, pero pronto se dio cuenta de la identidad del verdadero dueño y acudió a [Root.Capital.GetName] para reclamar la recompensa.;;;;;;;;;x
EVTOPTAvalyrian_steel.101;Excellent, my [Root.GetMySpymasterName] has done well!;Parfait, mon [Root.GetMySpymasterName] a réussi !;;;Excelente, mi [Root.GetMySpymasterName] lo ha hecho bien!;;;;;;;;;x
EVTDESCvalyrian_steel.102;Despite sending many spies to [valyrian_steel_blacksmith.Location.GetName] to search for the blacksmith, as well as offering a large bounty, [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] could not find [sword_to_reforge.GetName]. [Root.job_spymaster.GetSheHeCap] says more time and gold could yet see the sword return to your possession however.;Malgré l'envoi de nombreux espions à la recherche du forgeron à [valyrian_steel_blacksmith.Location.GetName] ainsi que l'offre d'une généreuse récompense, [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] n'a pas réussi à trouver [valyrian_steel_blacksmith.GetValyrianSwordOwned]. [Root.job_spymaster.GetSheHeCap] dit que plus de temps et plus d'or vous permettrait de voir revenir l'épée en votre possession.;;;A pesar de enviar muchos espías a [valyrian_steel_blacksmith.Location.GetName] para buscar al herrero, además de ofrecer una gran recompensa, [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] no pudo encontrar [valyrian_steel_blacksmith.GetValyrianSwordOwned] . [Root.job_spymaster.GetSheHeCap] dice que más tiempo y más oro te permitirán volver a ver la espada en tu poder.;;;;;;;;;x
EVTOPTAvalyrian_steel.102;Yes, continue the search!;Oui, continuez de chercher !;;;Sí, continuad la búsqueda;;;;;;;;;x
EVTOPTBvalyrian_steel.102;I will not waste more gold on your inept intrigues;Je ne dépenserai pas plus d'argent pour vos stupides intrigues;;;No gastaré más dinero en tus estúpidos planes;;;;;;;;;x
valyrian_armour;Valyrian Steel Armour;Armure en acier valyrien;;;Armadura de acero valyrio;;;;;;;;;x
valyrian_armour_desc;Valyrian steel is a magical alloy invented in Valyria and used to make weapons of unparalleled quality. A suit of armour made of such material would be worth a kingdoms fortune.;L'acier valyrien est un alliage magique inventé à Valyria et utilisé pour forger des armes d'une qualité inégalable. Une armure d'un tel acier vaut la fortune de tout un royaume.;;;El acero valyrio es una aleación mágica traida de Valyria y usada para hacer armas de gran calidad. Una armadura hecha de tal material valdría la fortuna de un reino;;;;;;;;;x
opinion_stole_valyrian_armour;Stole my Valyrian Armour;A volé mon armure en acier valyrien;;;Robó mi Armadura;;;;;;;;;x
TOOLTIPRECLAIMvalyrian_armourWAR;[This.GetFirstNameWithDynasty] shall surrender [This.GetHerHis] §YValyrian Steel Armour§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] doit rendre [This.GetHerHis] §Yarmure en acier valyrien§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] rendirá su §YArmadura de acero Valyrio§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
give_valyrian_armour_to_son;Grant Valyrian Steel Armour;Donner votre armure en acier valyrien;;;Dale a tu armadura de acero Valyria;;;;;;;;;x
give_valyrian_armour_to_son_desc;I will pass on my Valyrian Steel Armour to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner mon armure en acier valyrien à [Root.GetFirstName], il/elle en a plus besoin que moi.;;;Le pasaré mi armadura de acero Valyria a [Root.GetFirstName], [Root.GetSheHe] la necesita más que yo.;;;;;;;;;x
TOOLTIPVALYRIANARMOURWIELDER;[This.GetFirstNameWithDynasty] owns a suit of §YValyrian Steel Armour§!\n;[This.GetFirstNameWithDynasty] possède une §Yarmure en acier valyrien§!\n;;;[This.GetFirstNameWithDynasty] posee una §YArmadura de acero Valyria§!\N;;;;;;;;;x
ValyrianSword;a Valyrian steel sword;une épée en acier valyrien;;;Una espada hecha de acero Valyrio;;;;;;;;;x
ValyrianSwordYours;your Valyrian steel sword;votre épée en acier valyrien;;;Tu espada de acero Valyrian;;;;;;;;;x
ValyrianSwordHis;his Valyrian steel sword;son épée en acier valyrien;;;Su espada en acero Valyrio;;;;;;;;;x
ValyrianSwordHer;her Valyrian steel sword;son épée en acier valyrien;;;Su espada de acero Valyrio;;;;;;;;;x
ValyrianSworddawn;Dawn;Aube;;;Albor;;;Alba;;;;;;x
ValyrianSwordblackfyre;Blackfyre;Feunoyr;;;Fuegoscuro;;;;;;;;;x
ValyrianSworddarksister;Dark Sister;Noire Sœur;;;Hermana oscura;;;;;;;;;x
ValyrianSwordice;Ice;Glace;;;Hielo;;;;;;;;;x
ValyrianSwordlongclaw;Longclaw;Grand-Griffe;;;Garra;;;;;;;;;x
ValyrianSwordbrightroar;Brightroar;Rugissante;;;Rugido;;;;;;;;;x
ValyrianSwordlightbringer;Lightbringer;Illumination;;;Dueña de Luz;;;;;;;;;x
ValyrianSwordheartsbane;Heartsbane;Corvenin;;;Veneno de Corazón;;;;;;;;;x
ValyrianSwordcrabspincer;Crab's Pincer;Pince-Crabe;;;Pinza de Cangrejo;;;;;;;;;x
ValyrianSwordladyforlorn;Lady Forlorn;Dame Affliction;;;Dama Desesperada;;;;;;;;;x
ValyrianSwordredrain;Red Rain;Pluie Pourpre;;;Lluvia Roja;;;;;;;;;x
ValyrianSwordwidowswail;Widow's Wail;Pleurs-de-Veuve;;;Lamento de Viuda;;;;;;;;;x
ValyrianSwordoathkeeper;Oathkeeper;Féale;;;Guardajuramentos;;;;;;;;;x
ValyrianSwordstrangers_mercy;Stranger's Mercy;Mort-Merci;;;Misericordia del desconocido;;;;;;;;;x
ValyrianSwordtruth;Truth;Vérité;;;Verdad;;;;;;;;;x
ValyrianSwordlamentation;Lamentation;Lamentation;;;Lamento;;;;;;;;;x
ValyrianSwordpoison;Poison;Poison;;;Veneno;;;;;;;;;x
ValyrianSwordseafoam;Seafoam;Seafoam;;;;;;;;;;;;x
ValyrianSwordnightfall;Nightfall;Crépuscule;;;Anochecer;;;;;;;;;x
ValyrianSwordanger;Mother's Grief;Chagrin-des-Mères;;;Dolores de Madres;;;;;;;;;x
ValyrianSwordblack_death;Black Death;Mort-Noire;;;Muerte Negra;;;;;;;;;x
ValyrianSwordcompassion;Glory;Gloire;;;Gloria;;;;;;;;;x
ValyrianSwordconcession;Skinpeeler;Epluche-peau;;;Desollador;;;;;;;;;x
ValyrianSworddel_pino;Del Pino;Brise-Pin;;;Del Pino;;;;;;;;;x
ValyrianSwordel_swordo;Goodsword;Bonnelame;;;Buenaspada;;;;;;;;;x
ValyrianSwordgold_sword;Dornish Kiss;Baiser-Dornien;;;Beso Dorniense;;;;;;;;;x
ValyrianSwordhappyness;Father's Fury;Furie-des-Pères;;;La Furia del Padre;;;;;;;;;x
ValyrianSwordhubris;Talon;Serre;;;Garra;;;;;;;;;x
ValyrianSwordjustice;Jade;Jade;;;Jade;;;;;;;;;x
ValyrianSwordkingmaker;Kingmaker;Faiseuse-de-Roi;;;Hacedor de Reyes;;;;;;;;;x
ValyrianSwordpassion;Passion;Passion;;;Pasión;;;;;;;;;x
ValyrianSwordrage;Stranger's Touch;L'Etranger;;;Toque de Extraños;;;;;;;;;x
ValyrianSwordsightblinder;Mourning Mace;Masse-de-Deuil;;;Maza de luto;;;;;;;;;x
ValyrianSwordthe_monarchist;Titan's Bite;Morsure-des-Titans;;;Mordedura del Titán;;;;;;;;;x
ValyrianSwordthe_usurper;Dragonbane;Fléaudragon;;;Perdición del Dragón;;;;;;;;;x
ValyrianSwordworldeater;Finger Eater;Mange-Doigt;;;Devorador de Dedos;;;;;;;;;x
ValyrianSwordworlds_envy;Rakh Arakh;Rakh Arakh;;;Rakh Arakh;;;;;;;;;x
ValyrianSwordvigilance;Vigilance;Vigilance;;;Vigilancia;;;;;;;;;x
ValyrianSwordorphan_maker;Orphan Maker;Faiseuse d'Orphelin;;;Hacedora de Huérfanos;;;;;;;;;x
EVTDESCvalyrian_steel.150;Only true knights of House Dayne may carry their ancestral greatsword Dawn, forged from the heart of a fallen star. Of all of House Dayne's members, you alone has proven yourself worthy of this honor.;Seul les vrais chevaliers de la maison Dayne peuvent prétendre porter l’ancestrale et mythique épée Aube, forgée dans le cœur d'un météore. De tous les membres de la maison Dayne, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ,seul, a prouvé que son honneur était digne de [From.GetHerHim];;;Solo los verdaderos caballeros de la Casa Dayne pueden portar la ancestral espada Albor, forjada del corazón de una estrella caída. De todos los miembros de la Casa Dayne, solo [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha probado ser digno de tal honor.;;;;;;;;;x
EVTOPTAvalyrian_steel.150;Rise with the sun, for you are the Sword of the Morning.;Lève-toi avec le soleil, à toi est l’Épée du Matin;;;Levantaos con el sol porque sois la Espada del Amanecer.;;;;;;;;;x
EVTDESCvalyrian_steel.151;Only true knights of House Dayne may carry their ancestral greatsword Dawn, forged from the heart of a fallen star. Of all of House Dayne's members, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] alone has proven [From.GetHerHim]self worthy of this honor.;Seul les vrais chevaliers de la maison Dayne peuvent prétendre porter l’ancestrale et mythique épée Aube, forgée dans le cœur d'un météore. De tous les membres de la maison Dayne, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ,seul, a prouvé que son honneur était digne de [From.GetHerHim];;;Solo los verdaderos caballeros de la Casa Dayne pueden portar la ancestral espada Albor, forjada del corazón de una estrella caída. De todos los miembros de la Casa Dayne, solo [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha probado ser digno de tal honor.;;;;;;;;;x
EVTOPTAvalyrian_steel.151;Good for [From.GetHerHim];Lève-toi avec le soleil, à toi est l’Épée du Matin;;;Levantaos con el sol porque sois la Espada del Amanecer.;;;;;;;;;x
claim_dawn;Claim Dawn;Revendiquer Aube;;;Reclamar a Albor;;;;;;;;;x
claim_dawn_desc;This person will claim Dawn and assume the mantle of The Sword of the Morning.;Revendiquer Aube et assumer le rôle d’Épée du Matin;;;Esta persona reclamará a Alba y asumirá el cargo de Espada del Amanecer.;;;;;;;;;x
seize_sword;Seize Valuable Artifact;;;;Confiscar la espada Valyria;;;;;;;;;x
seize_sword_desc;Seize a valuable artifact from your prisoner;;;;Confiscar la espada Valyria de tu prisionero;;;;;;;;;x
TOOLTIPseize_swordCLAIM;[This.GetTitledFirstNameWithDynasty] has an ancestral claim on on [FromFrom.GetName];;;;;;;;;;;;;x
TOOLTIPseize_swordSTOLEN;[FromFrom.GetName] was stolen from [This.GetTitledFirstNameWithDynasty];;;;;;;;;;;;;x
TOOLTIPseize_swordCLAIMTITLE;[FromFrom.GetName] is an heirloom of [This.GetTitledFirstNameWithDynasty]'s realm;;;;;;;;;;;;;x
EVTDESCvalyrian_steel.160;Your captor, [FromFrom.GetTitledFirstNameWithDynasty], has seized [FromFromFrom.GetName] from you!;;;;Su captor, [FromFrom.GetTitledFirstNameWithDynasty], ha confiscado [FromFromFet.GetName] de usted!;;;;;;;;;x
EVTOPTAvalyrian_steel.160;This is an outrage!;;;;¡Esto es un atropello!;;;;;;;;;x
ValyrianSwordartifact;[valyrian_steel_sword.GetName];;;;;;;;;;;;;x
demand_return_of_valyrian_steel;Demand Return of Artifact;;;;Reclamar el retorno de la espada Valyria;;;;;;;;;x
demand_return_of_valyrian_steel_desc;An artifact that is justly property of House [From.GetOnlyDynastyName] is currently in [Root.PrimaryTitle.GetName]. A demand can be sent for its return under the threat of war.;;;;La espada Valyria que es justamente propiedad de la Casa [From.GetOnlyDynastyName] se encuentra actualmente en [Root.PrimaryTitle.GetName]. Se puede enviar una Reclamacion para su devolución bajo la amenaza de la guerra.;;;;;;;;;x
opinion_demanded_valyrian_steel;Demanded Return of an Artifact;;;;Reclamar vuelta de espada valiria;;;;;;;;;x
TOOLTIPvalyrian_steel.170;A message is sent to [Root.GetTitledFirstNameWithDynasty] demanding return of artifacts, threatening war if this is not done.;;;;Se envía un mensaje a [Root.GetTitledFirstNameWithDynasty] exigiendo que devuelva la espada valyria, amenazando con una guerra si esto no se hace.;;;;;;;;;x
TOOLTIPdemand_return_of_valyrian_steel;[This.GetName], currently held by [This.Owner.GetTitledFirstNameWithDynasty], is demanded;;;;[This.GetName], actualmente en posesión de [This.Owner.GetTitledFirstNameWithDynasty], se exige;;;;;;;;;x
EVTDESCvalyrian_steel.170;[Root.GetTitledFirstName], certain valuable artifacts that are rightfully the property of House [FromFrom.GetOnlyDynastyName] are currently being unjustly held in [Root.PrimaryTitle.GetName]. I demand that they are returned intact to [FromFrom.Capital.GetName], or else we may resort to more direct means to retrieve them.\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;[Root.GetTitledFirstName], la espada Valyria que es legítimamente propiedad de la Casa [FromFrom.GetOnlyDynastyName] está siendo retenido injustamente en [Root.PrimaryTitle.GetName]. Exijo que se devuelva intacto a [FromFrom.Capital.GetName], o bien podemos recurrir a medios más directos para recuperarlo.\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.170;Yes, this would seem the wisest course;;;;Sí, esta parece ser la opción más sabia;;;;;;;;;x
opinion_returned_valyrian_steel;Returned Valuable Artifact;;;;Devolver espada Valyria;;;;;;;;;x
TOOLTIPvalyrian_steel.173;You issue a command to [This.GetTitledFirstNameWithDynastyAndTitle], ordering [This.GetHerHim] to return [Prev.GetName] to [FromFrom.GetTitledFirstName];;;;Usted emite una orden para [This.GetTitledFirstNameWithDynastyAndTitle], ordenando [This.GetHerHim] que devuelva [Prev.GetName] a [FromFrom.GetTitledFirstName];;;;;;;;;x
EVTOPTBraid_events.151;I will not cave to threats from that [GetRootFromInsult]!;;;;¡No cederé a las amenazas de ese [GetRootFromInsult]!;;;;;;;;;x
opinion_refused_valyrian_steel_demand;Refused to Return Artifact;;;;Se negó a devolver la espada Valyria;;;;;;;;;x
TOOLTIPvalyrian_steel.171;[This.GetTitledFirstNameWithDynastyAndTitle] will have just cause to declare war;;;;[This.GetTitledFirstNameWithDynastyAndTitle] tendrá una causa justa para declarar la guerra;;;;;;;;;x
EVTDESCvalyrian_steel.171;To the [GetFromRootInsult] [Root.GetTitledFirstName], we will not cave in to these naked threats. The artifact which you say to claim will remain in [From.PrimaryTitle.GetName].\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;xPara [GetFromRootInsult] [Root.GetTitledFirstName], no cederemos a estas amenazas vacías. La espada valyria que dices reclamar permanecerá en [From.PrimaryTitle.GetName].\n\n Firmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.171;Fine, call the banners!;;;;Bien, llama a los abanderados;;;;;;;;;x
EVTOPTBvalyrian_steel.171;This is not worth a war;;;;Esto no vale una guerra;;;;;;;;;x
EVTDESCvalyrian_steel.1711;[From.GetTitledFirstNameNoRegnal]'s threats were empty it seems, for [From.GetSheHe] has backed down and not gone to war after receiving our reply to [Fron.GetHerHis] demands.;;;;Las amenazas de [From.GetTitledFirstNameNoRegnal] estaban vacías, parece, que se ha retirado y no ha ido a la guerra después de recibir nuestra respuesta a las demandas de [Fron.GetHerHis].;;;;;;;;;x
EVTOPTAvalyrian_steel.1711;Craven;;;;Cobarde;;;;;;;;;x
EVTDESCvalyrian_steel.172;To the [GetFromRootCompliment] [Root.GetTitledFirstName], I find your request just, the artifact which you claim shall be sent to [Root.Capital.GetName] immediately. I trust this will satisfy you and that peace can be kept.\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstName], me parece justa su solicitud, de la espada valyria que usted reclama será enviada a [Root.Capital.GetName] de inmediato. Confío en que esto los satisfará y que se pueda mantener la paz.\n\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.172;A wise choice [From.PrimaryTitle.GetFOA];;;;Una sabia elección [From.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCvalyrian_steel.173;[Root.GetTitledFirstName], Artifacts that are rightfully the property of [FromFromFrom.GetTitledFirstNameWithDynastyAndTitle] are currently being held in your possession. I command that they be returned intact to [FromFromFrom.Capital.GetName], or else be branded traitor.\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;x[Root.GetTitledFirstName], la espada Valyria que es legítimamente propiedad de  [FromFromFrom.GetTitledFirstNameWithDynastyAndTitle]  se encuentra actualmente en su poder. Le ordeno que se devuelva intacto a [FromFromFrom.Capital.GetName], o bien que se lo llame traidor.\n\n Firmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.173;As you command [From.PrimaryTitle.GetFOA];;;;Como usted ordene [From.PrimaryTitle.GetFOA];;;;;;;;;x
EVTOPTBvalyrian_steel.173;[From.GetSheHeCap] may cave to threats, but I will not!;;;;[From.GetSheHeCap] puede ceder a las amenazas, ¡pero yo no lo haré!;;;;;;;;;x
EVTOPTCvalyrian_steel.173;Flee into exile;;;;Huir al exilio;;;;;;;;;x
EVTDESCvalyrian_steel.174;To the [GetFromRootCompliment] [Root.GetTitledFirstName], I find your request just, the artifact currently in the possession of [From.GetTitledFirstNameWithDynastyAndTitle] shall be sent from to [Root.Capital.GetName] immediately. I trust this will satisfy you and that peace can be kept.\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstName], encuentro que su solicitud es justa, la espada valyria actualmente en posesión de  [From.GetTitledFirstNameWithDynastyAndTitle] se enviará desde [Root.Capital.GetName] de inmediato. Confío en que esto los satisfará y que se pueda mantener la paz.\n\n Firmado,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.174;I am satisfied;;;;Estoy satisfecho;;;;;;;;;x
EVTDESCvalyrian_steel.175;[Root.PrimaryTitle.GetFOA], I shall of course obey your command, the artifact shall be sent to [FromFromFrom.Capital.GetName] immediately.\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;[Root.PrimaryTitle.GetFOA], por supuesto, obedeceré su orden, el acero valyriano se enviará a [FromFromFrom.Capital.GetName] de inmediato.\n\n Firmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTDESCvalyrian_steel.176;To the [GetFromRootCompliment] [Root.GetTitledFirstName], whilst I agree that the artifact currently in the possession of [From.GetTitledFirstNameWithDynastyAndTitle] should be returned to you, [From.GetSheHe] has rejected my command to do so and has called [From.GetHerHis] banners. Rest assured that this traitor will be brought to justice.\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstName], aunque estoy de acuerdo en que la espada valyria actualmente en posesión de [From.GetTitledFirstNameWithDynastyAndTitle] debe devolvérsela, ha rechazado mi orden para hacerlo y ha llamado a sus abanderados. Tenga la seguridad de que este traidor será llevado ante la justicia.\n\n Firmado,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTDESCvalyrian_steel.176B;To the [GetFromRootCompliment] [Root.GetTitledFirstName], whilst I agree that the artifact currently in the possession of [From.GetTitledFirstNameWithDynastyAndTitle] should be returned to you, [From.GetSheHe] has rejected my command to do so and has fled into exile. Rest assured that this traitor will be brought to justice.\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstName], aunque estoy de acuerdo en que la espada valyriana actualmente en posesión de  [From.GetTitledFirstNameWithDynastyAndTitle] debe devolvérsele, [From.GetSheHe] ha rechazado mi orden para hacerlo y ha huido a exilio. Tenga la seguridad de que este traidor será llevado ante la justicia.\n\n Firmado,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.176;I should hope so!;;;;¡Eso espero!;;;;;;;;;x
EVTDESCvalyrian_steel.177;[Root.PrimaryTitle.GetFOA], I will not give up what is rightfully mine, and whilst you will cave into threats from the [FromFromFrom.GetOnlyDynastyName]s, I will not. You will have to come to [From.Capital.GetName] and forcibly take my possession.\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;[Root.PrimaryTitle.GetFOA], no voy a renunciar a lo que es legítimamente mío, y si bien vas a ceder ante las amenazas de los [FromFromFrom.GetOnlyDynastyName] yo, no lo haré. Tendrás que venir a [From.Capital.GetName] y tomar mi espada por la fuerza.\n\n Signed,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAvalyrian_steel.177;This is treason!;;;;!Esto es una traición!;;;;;;;;;x
opinion_failed_return_valyrian_steel;Failed to Return Artifact;;;;No se pudo devolver la espada Valyria;;;;;;;;;x
opinion_returned_vassal_valyrian_steel;Vassal Returned Artifact;;;;El vasallo devolvió la espada Valyria;;;;;;;;;x
GetSwordName_A;[This.GetSwordName_OneWord_Prefix][This.GetSwordName_OneWord_Suffix];;;;;;;;;;;;;x
GetSwordName_B;[This.GetSwordName_TwoWord_Prefix] [This.GetSwordName_TwoWord_Suffix];;;;;;;;;;;;;x
GetSwordName_C;[This.GetSwordName_OneWord];;;;;;;;;;;;;x
GetSwordName_OneWord_A;[This.GetSwordName_TwoWord_Suffix];;;;;;;;;;;;;x
GetSwordName_OneWord_B;[This.GetSwordName_OneWord_Special];;;;;;;;;;;;;x
GetSwordName_Black;Black;;;;Negro;;;;;;;;;x
GetSwordName_White;White;;;;Blanco;;;;;;;;;x
GetSwordName_Red;Red;;;;Rojo;;;;;;;;;x
GetSwordName_Blue;Blue;;;;Azul;;;;;;;;;x
GetSwordName_Gold;Gold;;;;Oro;;;;;;;;;x
GetSwordName_Golden;Golden;;;;Dorado;;;;;;;;;x
GetSwordName_Silver;Silver;;;;Plata;;;;;;;;;x
GetSwordName_Bright;Bright;;;;Brillante;;;;;;;;;x
GetSwordName_Dark;Dark;;;;Oscuro;;;;;;;;;x
GetSwordName_Heart;Heart;;;;Corazón;;;;;;;;;x
GetSwordName_Hearts;Hearts;;;;Corazones;;;;;;;;;x
GetSwordName_Light;Light;;;;Ligero;;;;;;;;;x
GetSwordName_Long;Long;;;;Largo;;;;;;;;;x
GetSwordName_Night;Night;;;;Noche;;;;;;;;;x
GetSwordName_Short;Short;;;;Corto;;;;;;;;;x
GetSwordName_Good;Good;;;;Bueno;;;;;;;;;x
GetSwordName_This.GetTitles;[This.Owner.GetTitle]s;;;;;;;;;;;;;x
GetSwordName_This.Spouse.GetTitles;[This.Owner.Spouse.GetTitle]s;;;;;;;;;;;;;x
GetSwordName_This.TopLiege.GetTitles;[This.Owner.TopLiege.GetTitle]s;;;;;;;;;;;;;x
GetSwordName_This.TopLiege.Spouse.GetTitles;[This.Owner.TopLiege.Spouse.GetTitle]s;;;;;;;;;;;;;x
GetSwordName_Mourn;Mourn;;;;Lloro;;;;;;;;;x
GetSwordName_Death;Death;;;Muerte;;;;;;;;;;x
GetSwordName_Shadow;Shadow;;;Sombra;;;;;;;;;;x
GetSwordName_Storm;Storm;;;;Tormenta;;;;;;;;;x
GetSwordName_Bronze;Bronze;;;;xBronce;;;;;;;;;x
GetSwordName_Fire;Fire;;;Fuego;;;;;;;;;;x
GetSwordName_Iron;Iron;;;;Hierro;;;;;;;;;x
GetSwordName_Great;Great;;;;;;;;;;;;;x
GetSwordName_Blood;Blood;;;Sangre;;;;;;;;;;x
GetSwordName_Frozen;Frozen;;;;;;;;;;;;;x
GetSwordName_Ice;Ice;;;;;Hielo;;;;;;;;x
GetSwordName_Hells;Hells;;;;;;;;;;;;;x
GetSwordName_Will;Will;;;;;;;;;;;;;x
GetSwordName_Blaze;Blaze;;;;;;;;;;;;;x
GetSwordName_Sun;Sun;;;;Sol;;;;;;;;;x
GetSwordName_Cruel;Cruel;;;;Cruel;;;;;;;;;x
GetSwordName_Oath;Oath;;;;Juramento;;;;;;;;;x
GetSwordName_Wither;Wither;;;;;;;;;;;;;x
GetSwordName_Draught;Draught;;;;;;;;;;;;;x
GetSwordName_Wind;Wind;;;;Viento;;;;;;;;;x
