#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jade_sea;The Jade Sea;La Mer de Jade;;;El Mar de Jade;;;;;;;;;x
king_foa_hyrkoon_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
king_foa_female_hyrkoon_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
king_title_queen_mother_female_hyrkoon_group;Matriarch;Matriarche;;;Matriarca;;;;;;;;;x
duke_hyrkoon_group;Great Father;Eminent Père;;;Eminente Padre;;;;;;;;;x
duke_female_hyrkoon_group;Great Mother;Eminente Mère;;;Eminente Madre;;;;;;;;;x
duke_foa_hyrkoon_group;Great Father;Eminent Père;;;Eminente Padre;;;;;;;;;x
duke_foa_female_hyrkoon_group;Great Mother;Eminente Mère;;;Eminente Madre;;;;;;;;;x
job_marshal_hyrkoon_group;Chief Warrior;Guerrier en chef;;;Jefe Guerrero;;;;;;;;;x
city_job_marshal_hyrkoon_group;Chief Warrior;Guerrier en chef;;;Jefe Guerrero;;;;;;;;;x
LP_job_marshal_hyrkoon_group;Chief Warrior;Guerrier en chef;;;Jefe Guerrero;;;;;;;;;x
oligarchy_job_marshal_hyrkoon_group;Chief Warrior;Guerrier en chef;;;Jefe Guerrero;;;;;;;;;x
d_sorrowful_men;The Sorrowful Men;Les Navrés;;;Los Hombres Pesarosos;;;;;;;;;x
SORROWFUL_MAN;Sorrowful Man;Navré;;;Hombre Pesaroso;;;;;;;;;x
SORROWFUL_MAN_FOA;Master;Maître;;;Maestro;;;;;;;;;x
c_thousand_islands;Thousand Islands;Mille-Iles;;;Las Mil Islas;;;;;;;;;x
b_thousand_islands;Thousand Islands;Mille-Iles;;;Las Mil Islas;;;;;;;;;x
c_old_waste_road;Old Waste Road;;;;Antiguo Camino Desolado;;;;;;;;;x
b_old_waste_road;The Red Fort;;;;El Fuerte Rojo;;;;;;;;;x
c_isle_of_lice;Isle of Lice;;;;Isla del Canalla;;;;;;;;;x
b_isle_of_lice;Isle of Lice;;;;Isla del Canalla;;;;;;;;;x
b_isle_of_licetown;Corsair Cove;;;;Cala de los Corsarios;;;;;;;;;x
b_manticore_isles_city;Manticore Isles;;;;Islas de las Mantícoras;;;;;;;;;x
b_marahai_city;Marahai;;;;Marahai;;;;;;;;;x
d_hyrkoon;Hyrkoon;;;;Hyrkoon;;;;;;;;;x
c_hyrkoon;Hyrkoon;;;;Hyrkoon;;;;;;;;;x
b_hyrkoon;Hyrkoon;;;;Hyrkoon;;;;;;;;;x
b_hyrkoon_city;Hyrkoon;;;;Hyrkoon;;;;;;;;;x
b_hyrkoon_temple;Hyrkoon;;;;Hyrkoon;;;;;;;;;x
c_talina;Talina;;;;Talina;;;;;;;;;x
b_talina;Talina;;;;Talina;;;;;;;;;x
b_talina_city;Talina;;;;Talina;;;;;;;;;x
b_talina_temple;Talina;;;;Talina;;;;;;;;;x
c_basalam;Basalam;;;;Basalam;;;;;;;;;x
b_basalam;Basalam;;;;Basalam;;;;;;;;;x
b_basalam_city;Basalam;;;;Basalam;;;;;;;;;x
b_basalam_temple;Basalam;;;;Basalam;;;;;;;;;x
c_ibben_rel;Ibben;;;;Ibben;;;;;;;;;x
