#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ironborn_reaving;Go on a Reaving;Partir pour un raid;;;Organizar una expedición de saqueo;;;;;;;;;x
EVTDESCraid_events.399B;This past month your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] has been organising a reaving, a reaving [From.GetSheHe] has announced will travel far to the north in the Shivering Sea, where they will target Lorathi and Ibbenese ships. [From.GetSheHeCap] and [From.GetHerHis] fellow reavers are now ready, and have set sail from [From.Location.GetName] on their quest to follow the old way.;Lors de la dernière lune, votre [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] a organisé une razzia, une razzia qui a pour objectif de prendre la direction de la mer Grelotte pour attaquer les navires ibbéniens et lorathis. [From.GetSheHeCap] est désormais prêt et a appareillé de [From.Location.GetName] avec ses razzieurs pour suivre l'antique voie. ;;;El mes pasado tu [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] organizó una expedición de saqueo, una expedición hacia el norte del Mar de los Escalofríos que ya está lista para partir de [From.Location.GetName] para continuar con las antiguas costumbres.;;;;;;;;;x
EVTDESCraid_events.399C;This past month your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] has been organising a reaving, a reaving [From.GetSheHe] has announced will journey to the south in the Summer Sea, where they will target the weak Summer Islanders. [From.GetSheHeCap] and [From.GetHerHis] fellow reavers are now ready, and have set sail from [From.Location.GetName] on their quest to follow the old way.;Lors de la dernière lune, votre [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] a organisé une razzia, une razzia qui a pour objectif de prendre la direction du Sud, vers la mer d’Été et les faibles Estiviens. [From.GetSheHeCap] est désormais prêt et a appareillé de [From.Location.GetName] avec ses razzieurs pour suivre l'antique voie. ;;;El mes pasado tu [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] organizó una expedición de saqueo, una expedición hacia el sur del Mar del Verano que ya está lista para partir de [From.Location.GetName] para continuar con las antiguas costumbres.;;;;;;;;;x
EVTDESCraid_events.399D;This past month your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] has been organising a reaving, a reaving [From.GetSheHe] has announced will journey far to the east in Slaver's Bay. [From.GetSheHeCap] and [From.GetHerHis] fellow reavers are now ready, and have set sail from [From.Location.GetName] on their quest to follow the old way.;Lors de la dernière lune, votre [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] a organisé une razzia, une razzia qui a pour objectif la Baie des Serfs. [From.GetSheHeCap] est désormais prêt et a appareillé de [From.Location.GetName] avec ses razzieurs pour suivre l'antique voie. ;;;El mes pasado tu [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] organizó una expedición de saqueo, una expedición hacia el este, a la Bahía de los Esclavos que ya está lista para partir de [From.Location.GetName] para continuar con las antiguas costumbres.;;;;;;;;;x
EVTOPTAraid_events.399;Do us proud;Rends nous fiers !;;;Nos hace sentir orgullosos;;;;;;;;;x
EVTOPTBraid_events.399;Let them go, as long as they don't molest my lands;Laissez les partir, tant qu'ils ne ravagent pas mes terres.;;;Que se vayan, así no molestarán mis tierras;;;;;;;;;x
seek_raiding_redress;Seek Redress for Raiding;Demander réparation pour les pillages;;;Pedir reparación por los saqueos;;;;;;;;;x
seek_raiding_redress_desc;Some among [Root.GetTitledFirstName]'s subjects have been known to be openly raiding [From.PrimaryTitle.GetName]. Therefore [From.GetTitledFirstName] can issue a demand for compensation.;Certains des sujets de [Root.GetTitledFirstName] sont reconnus avoir ouvertement mis à sac [From.PrimaryTitle.GetName]. Par conséquent [From.GetTitledFirstName] peut demander une compensation;;;Algunos de los súbditos de [Root.GetTitledFirstName] reconocieron abiertamente que saquearon [From.PrimaryTitle.GetName]. Por consiguiente [From.GetTitledFirstName] puede pedir una compensación.;;;;;;;;;x
opinion_demanded_raiding_redress;Demanded Raiding Redress;Réparation demandée;;;Reparación solicitada;;;;;;;;;x
TOOLTIPseek_raiding_redressSUBJECT;[Root.GetTitledFirstName] has at least one subject who is known to have raided [From.GetTitledFirstName]'s lands, and has NOT already been forbidden from raiding these lands.\n;[Root.GetTitledFirstName] a au moins un sujet ayant pillé les terres de [From.GetTitledFirstName], et n'a pas déjà été interdit d'attaquer ces terres.\n;;;[Root.GetTitledFirstName] tiene al menos un súbdito que se sabe que ha saqueado las tierras de [From.GetTitledFirstName], y no ha sido ya prohibido de atacar estas tierras.\n;;;;;;;;;x
TOOLTIPraid_events.151;[Root.GetTitledFirstName] will be issued a demand that those of [Root.GetHerHis] subjects who have been raiding [From.PrimaryTitle.GetName] will pay [From.GetTitledFirstName] compensation. If they refuse, it will be just cause for war.\nThe subjects who have been raiding [From.PrimaryTitle.GetName] are:;[Root.GetTitledFirstName] recevra une requête exigeant que ses sujets ayant pillé [From.PrimaryTitle.GetName] paieront des réparations à [From.GetTitledFirstName]. S'ils refusent, cela constituerait un casus belli valide.\nLes sujets coupables de pillages sont:;;;[Root.GetTitledFirstName] recibirá una petición exigiendo que sus súbditos que hayan saqueado [From.PrimaryTitle.GetName] pagarán reparaciones a [From.GetTitledFirstName]. Si rechazan, constituirá un casus belli válido.\nLos súbditos culpables de saqueo son:;;;;;;;;;x
EVTDESCraid_events.151;[Root.GetTitledFirstNameNoRegnal], some among your subjects have been found to be pillaging the lands under my dominion. I demand that they are made to pay just recompense so that the damage caused can be repaired, else we may have to resort to force of arms to seek our redress.\n\nSigned,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];[Root.GetTitledFirstNameNoRegnal], certains parmi vos sujets se sont rendus coupables de pillages dans les terres sous ma protection. Je demande qu'ils paient de justes compensations, afin que les dommages causés puissent être réparés, faute de quoi nous pourrions faire usage de la force pour obtenir réparation.\n\nSigné,\n[FromFrom.GetTitledFirstName] de la Maison [FromFrom.GetOnlyDynastyName];;;[Root.GetTitledFirstNameNoRegnal], algunos de sus súbditos son culpables de saquear las tierras bajo mi protección. Exijo que paguen una justa compensación, con el fin de reparar el daño causado, de lo contrario podríamos usar la fuerza para obtener reparación.\n\nFirmado,\n[FromFrom.GetTitledFirstName] de la Casa [FromFrom.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.151;Yes, it is only just;Oui, ça n'est que justice;;;Sí, no es más que justicia;;;;;;;;;x
opinion_forbid_raiding;Forbid Raiding;A interdit les raids;;;A prohibido los saqueos;;;;;;;;;x
TOOLTIPraid_events.153 ;[This.GetTitledFirstNameNoRegnal] of [This.PrimaryTitle.GetName] is issued a command to cease raiding [FromFrom.PrimaryTitle.GetName], and to pay compensation to [FromFrom.GetTitledFirstNameNoRegnal]. ;[This.GetTitledFirstNameNoRegnal] de [This.PrimaryTitle.GetName] reçoit l'ordre de cesser les raids contre [FromFrom.PrimaryTitle.GetName], et de payer des réparations à [FromFrom.GetTitledFirstNameNoRegnal]. ;;;[This.GetTitledFirstNameNoRegnal] de [This.PrimaryTitle.GetName] ha recibido la orden de cesar los saqueos contra [FromFrom.PrimaryTitle.GetName], y de pagar reparaciones a [FromFrom.GetTitledFirstNameNoRegnal]. ;;;;;;;;;x
EVTOPTBraid_events.151;Ha, that [GetRootFromFromInsult] will get nothing from me!;Ha! Ce [GetRootFromFromInsult] n'obtiendra rien de moi!;;;Ja! Este [GetRootFromFromInsult] no obtendrá nada de mí!;;;;;;;;;x
TOOLTIPraid_events.152;[FromFrom.GetTitledFirstNameNoRegnal] will be given just cause to use force of arms;[FromFrom.GetTitledFirstNameNoRegnal] obtiendra un casus belli pour employer la force des armes;;;[FromFrom.GetTitledFirstNameNoRegnal] obtendrá un casus belli para emplear la fuerza de las armas;;;;;;;;;x
EVTDESCraid_events.152;To the [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], I am afraid I cannot accept these outrageous demands. I imagine these claims of raiding in [Root.PrimaryTitle.GetName] are fabricated, and we will not be bullied by thinly veiled threats.\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];Au [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], j'ai peur que je ne puisse accepter ces scandaleuses exigences. J'imagine que ces prétendus pillages en [Root.PrimaryTitle.GetName] sont inventés, et nous ne seront pas intimidés par ces menaces à peine voilées.\n\nSigné,\n[From.GetTitledFirstName] de la Maison [From.GetOnlyDynastyName];;;Al [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], me temo que no puedo aceptar estas escandalosas exigencias. Imagino que esos supuestos saqueos en [Root.PrimaryTitle.GetName] son inventados, y no nos dejaremos intimidar por estas amenazas veladas.\n\nFirmado,\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.152;This is unacceptable!;C'est inacceptable!;;;Es inaceptable!;;;;;;;;;x
EVTDESCraid_events.153;[Root.GetTitledFirstNameNoRegnal], it is come to my attention that you have been raiding the lands under the dominion of [FromFromFrom.GetTitledFirstName] of [FromFromFrom.PrimaryTitle.GetName]. I hereby command you stop these activities, and pay just recompense for any damaged caused.\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];[Root.GetTitledFirstNameNoRegnal], il est venu à mon attention que vous aviez attaqué les terres sous la protection de [FromFromFrom.GetTitledFirstName] de [FromFromFrom.PrimaryTitle.GetName]. Par la présente je vous ordonne de cesser ces activités et de payer un juste dédommagement pour tous les dégâts causés.\n\nSigné,\n[From.GetTitledFirstName] de la Maison [From.GetOnlyDynastyName];;;[Root.GetTitledFirstNameNoRegnal], me ha llegado a mi atención que habéis atacado las tierras bajo protección de [FromFromFrom.GetTitledFirstName] de [FromFromFrom.PrimaryTitle.GetName]. Por la presente os ordeno cesar de inmediato estas actividades y pagar una justa compensación por los daños causados.\n\nFirmado,\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.153;[From.PrimaryTitle.GetFOA], I of course obey your command;[From.PrimaryTitle.GetFOA], j'obéis évidemment à votre ordre;;;[From.PrimaryTitle.GetFOA], obedeceré su orden;;;;;;;;;x
TOOLTIPraid_events.153;[This.GetTitledFirstNameWithDynastyNoRegnal] of [This.PrimaryTitle.GetName] is issued a command to cease raiding the lands of [FromFrom.GetTitledFirstName], else be branded a traitor and rebel\n;[This.GetTitledFirstNameWithDynastyNoRegnal] de [This.PrimaryTitle.GetName] reçoit l'ordre de cesser de lancer des raids contre les terres de [FromFrom.GetTitledFirstName], faute de quoi il sera déclaré traître et rebelle\n;;;[This.GetTitledFirstNameWithDynastyNoRegnal] de [This.PrimaryTitle.GetName] ha recibido la orden de cesar las expediciones de saqueo contra las tierras de [FromFrom.GetTitledFirstName], de lo contrario será declarado traidor y rebelde\n;;;;;;;;;x
TOOLTIPraid_events.154;[Root.GetTitledFirstNameNoRegnal] is forbidden from rading [This.GetTitledFirstName]'s lands for 10 years;[Root.GetTitledFirstNameNoRegnal] est interdit de piller les terres de [This.GetTitledFirstName] pendant 10 ans;;;[Root.GetTitledFirstNameNoRegnal] está prohibido saquear las tierras de [This.GetTitledFirstName] durante 10 años.;;;;;;;;;x
EVTOPTBraid_events.153;Outrageous! I refuse!;Scandaleux! Je refuse!;;;Escandaloso! Lo rechazo!;;;;;;;;;x
EVTDESCraid_events.154;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], I acknowledge the wrongs made against you and your subjects, and so have commanded [From.GetTitledFirstNameWithDynasty] to cease [From.GetHerHis] hostile activities and to pay just recompense for any damaged caused.\n\nSigned,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];Au [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], j'ai pris connaissance des torts causés à vous et à vos sujets, et j'ai donc ordonné à [From.GetTitledFirstNameWithDynasty] de cesser ses activités hostiles à votre encontre et de payer de justes réparations pour tous les dommages causés.\n\nSigné,\n[FromFrom.GetTitledFirstName] de la Maison [FromFrom.GetOnlyDynastyName];;;Al [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], he tenido conocimiento de los daños causados a vuestras tierras, por lo que he ordenado a [From.GetTitledFirstNameWithDynasty] cesar sus expediciones de saqueo en vuestras tierras y pagar justas reparaciones par los daños causados.\n\nFirmado,\n[FromFrom.GetTitledFirstName] de la Casa [FromFrom.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.154;I am satisfied;Je suis satisfait;;;Estoy satisfecho;;;;;;;;;x
EVTDESCraid_events.155;[Root.PrimaryTitle.GetFOA], I will of course accept your command and cease raiding [FromFromFromFrom.PrimaryTitle.GetName], as well as paying the compensation due to [FromFromFromFrom.GetTitledFirstName].\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];[Root.PrimaryTitle.GetFOA], j'accepte évidemment votre ordre et cesse de mener des raids contre [FromFromFromFrom.PrimaryTitle.GetName], tout comme je paierai les réparations dus à [FromFromFromFrom.GetTitledFirstName].\n\nSigné,\n[From.GetTitledFirstName] de la Maison [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], acepto vuestra orden de cesar de inmediato las expediciones de saqueo contra [FromFromFromFrom.PrimaryTitle.GetName], y pagaré las reparaciones debidas a [FromFromFromFrom.GetTitledFirstName].\n\nFirmado,\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTDESCraid_events.156;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], whilst I acknowledge the wrongs made against you and your subjects, [From.GetTitledFirstNameWithDynasty] has rejected my command to cease [From.GetHerHis] hostile activities and to pay just recompense. Therefore I hope branding [From.GetHerHim] a traitor and rebel will satisfy you.\n\nSigned,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitle];Au [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], bien que j'ai pris connaissance des torts causés à vous et à vos sujets, [From.GetTitledFirstNameWithDynasty] a refusé d'obéir à mon ordre d'arrêter ses activités hostiles à votre encontre et de payer des réparations. Aussi j'espère que [From.GetHerHim] déclarer traître et rebelle vous satisfera.\n\nSigné,\n[FromFrom.GetTitledFirstName] de la Maison [FromFrom.GetOnlyDynastyName];;;Al [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], aunque soy consciente de los daños causados a vuestras tierras, [From.GetTitledFirstNameWithDynasty] ha rechazado obedecer mi orden de cesar las expediciones de saqueo en vuestras tierras y pagar justas reparaciones par los daños causados. Espero que declararle traidor y rebelde os satisfaga.\n\nFirmado,\n[FromFrom.GetTitledFirstName] de la Casa [FromFrom.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.156;It will have to do for now;Cela suffira pour le moment;;;Será suficiente por ahora;;;;;;;;;x
EVTDESCraid_events.157;To the [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], I reject your outrageous demand to stop my raiding, as it is my right to do so! I hereby renounce my fealty to you.\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];Au [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], je rejette votre scandaleuse demande de cesser mes raids, ainsi que j'en ai le droit! Par la présente je renonce à mon serment de fidélité envers vous.\n\nSigné,\n[From.GetTitledFirstName] de la Maison [From.GetOnlyDynastyName];;;Al [GetFromRootInsult] [Root.GetTitledFirstNameNoRegnal], rechazo su escandalosa demanda de cesar las expediciones de saqueo, ya que estoy en mi derecho! Por la presente renuncio a mi juramento de lealtad hacia vos.\n\nFirmado,\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAraid_events.157;War it is then;Alors c'est la guerre;;;Guerra pues;;;;;;;;;x
opinion_stopped_raiding;Stopped Raiding;A mis fin au raid;;;Puso fin a los saqueos;;;;;;;;;x
opinion_failed_to_stop_raiding;Failed to Stop Raiding;A échouer à mettre fin au raid;;;No logró poner fin a los saqueos;;;;;;;;;x
reaving_party_skill;Raiding Party Strength;Force du raid;;;Fuerza de la Expedición de Saqueo;;;;;;;;;x
EVTDESCraid_events.160;Shall I take my [Root.GetShipName] on this reaving? She would surely improve our raiding force.;Dois-je utiliser mon navire amiral '[Root.GetTitledFirstName]' lors de cette razzia ? Cela renforcerait notre puissance.;;;Debería utilizar mi buque insignia '[Root.GetTitledFirstName]' en esta expedición de saqueo? Esto reforzaría nuestro poder.;;;;;;;;;x
EVTOPTAraid_events.160;Yes, I will captain her myself!;Oui, je vais le commander moi-même !;;;Sí, lo comandaré yo mismo!;;;;;;;;;x
EVTOPTBraid_events.160;I will not risk my best ship;Je ne vais pas mettre en danger mon meilleur bateau;;;No pondré en peligro mi mejor barco;;;;;;;;;x
EVTDESCraid_events.161;The battle with the enemy fleet was hard fought, but ultimately lost. The [Root.GetShipName] was at the heart of the battle, but she was ultimately sunk by the enemy.;La bataille contre la flotte ennemie fut rude, et à la fin nous avons perdu. Le navire amiral '[Root.GetTitledFirstName]' était au cœur des combats et a été coulé par l'ennemi.;;;La batalla contra la flota enemiga fue muy dura, y al final perdimos. El buque insignia '[Root.GetTitledFirstName]' estaba en el corazón de la batalla y fue hundido por el enemigo.;;;;;;;;;x
EVTOPTAraid_events.161;She will be missed;Il nous manquera !;;;Lo extrañaremos!;;;;;;;;;x
ShipName_no_flagship;ship;;;;barco;;;;;;;;;x
ShipName_flagship_name;flagship '[flagship_name.GetName]';navire amiral '[This.GetTitledFirstName]';;;buque insignia '[flagship_name.GetName]';;;;;;;;;x
ShipName_flagship_name_SELF;flagship '[This.GetTitledFirstName]';navire amiral '[This.GetTitledFirstName]';;;buque insignia '[This.GetTitledFirstName]';;;;;;;;;x
ShipName_flagship_name_FATHER;flagship '[This.Father.GetTitledFirstName]';navire amiral '[This.Father.GetTitledFirstName]';;;buque insignia '[This.Father.GetTitledFirstName]';;;;;;;;;x
ShipName_flagship_name_SPOUSE;flagship '[This.Spouse.GetTitledFirstName]';navire amiral '[This.Spouse.GetTitledFirstName]';;;buque insignia '[This.Spouse.GetTitledFirstName]';;;;;;;;;x
ShipName_flagship_name_GOD;flagship '[This.Religion.GetHighGodName]';navire amiral '[This.Religion.GetHighGodName]';;;buque insignia '[This.Religion.GetHighGodName]';;;;;;;;;x
ShipName_flagship_name_DYNASTY;flagship '[This.GetOnlyDynastyName]';navire amiral '[This.GetOnlyDynastyName]';;;buque insignia '[This.GetOnlyDynastyName]';;;;;;;;;x
ShipName_flagship_name_PROVINCE;flagship '[flagship_name.GetName]';navire amiral '[flagship_name.GetName]';;;buque insignia '[flagship_name.GetName]';;;;;;;;;x
ShipName_flagship_name_TARGET;flagship '[flagship_name.GetFirstName]';navire amiral '[flagship_name.GetFirstName]';;;buque insignia '[flagship_name.GetFirstName]';;;;;;;;;x
TOOLTIPraid_events.4RESPECT;The Ironborn warriors in your court and realm respect you for your reaving, improving their opinion of you;;;;Los hijos del hierro guerreros en tu corte y reino te respetan por tu actuación, mejorando su opinión sobre ti;;;;;;;;;x
EVTOPTCraid_events.151;Launch an investigation;;;;Lanzar una investigación;;;;;;;;;x
TOOLTIPraid_events.1521;You conduct a thorough investigation and have its findings delivered to [FromFrom.GetTitledFirstName], satisfying [FromFrom.GetHerHim]. Raiding of [FromFrom.PrimaryTitle.GetName] will be stopped for 2 years.;;;;Realiza una investigación exhaustiva y envía los resultados a [FromFrom.GetTitledFirstName], que aatisfaga a [FromFrom.GetHerHim]. La incursión de [FromFrom.PrimaryTitle.GetName] se detendrá durante 2 años.;;;;;;;;;x
EVTOPTDraid_events.151;I have evidence which proves this is false;;;;Tengo evidencia que prueba que esto es falso;;;;;;;;;x
TOOLTIPraid_events.1522;You poke holes in [FromFrom.GetTitledFirstName]'s evidence, clearing you and your vassals of any wrongdoing;;;;Haces agujeros en la evidencia de [FromFrom.GetTitledFirstName], despejando a ti y a tus vasallos de cualquier fechoría.;;;;;;;;;x
EVTDESCraid_events.1521;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], your reports of my vassals raiding your lands is most concerning. Rest assured I have conducted a thorough and lengthy investigation, the details of which accompany this letter. The responsible individuals have been reprimanded and made aware of your displeasure.\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Para el [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], tus informes de mis vasallos asaltando tus tierras son muy preocupantes. Tenga la seguridad de que he llevado a cabo una investigación exhaustiva y prolongada, cuyos detalles acompañan a esta carta. Las personas responsables han sido advertidas y han dicho que no volverá a pasar.\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.1521;I guess this will suffice!;;;;¡Supongo que esto será suficiente!;;;;;;;;;x
EVTDESCraid_events.1522;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], whilst I do not doubt the sincerity of your allegations, I present with this letter irrefutable proof that the men pillaging your lands were not associated with me or my subjects. Raids can be chaotic, and the bandits mistaken for my subjects were probably just petty pirates.\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], aunque no dudo de la sinceridad de sus alegaciones, presento con esta carta una prueba irrefutable de que los hombres que saquearon sus tierras no estaban asociados a mí ni a mis súbditos. Los ataques pueden ser caóticos, y los bandidos confundidos con mis súbditos probablemente solo eran pequeños piratas.\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.1522;I am convinced;;;;Estoy convencido;;;;;;;;;x
EVTOPTCraid_events.153;I will send a sincere explanation;;;;Enviaré una explicación sincera;;;;;;;;;x
TOOLTIPraid_events.158;You placate [Prev.GetTitledFirstNameWithDynasty] with an official delegation of courtiers. Raiding of [Prev.PrimaryTitle.GetName] will be stopped for 2 years.;;;;Usted aplaca a [Prev.GetTitledFirstNameWithDynasty] con una delegación oficial de cortesanos. La incursión de [Prev.PrimaryTitle.GetName] se detendrá durante 2 años.;;;;;;;;;x
EVTOPTDraid_events.153;I have proof that it was not me who did these raids;;;;Tengo pruebas de que no fui yo quien hizo estas incursiones;;;;;;;;;x
TOOLTIPraid_events.1591;You poke holes in [Prev.GetTitledFirstNameWithDynasty]'s evidence, clearing you and your vassals of any wrongdoing;;;;Haces agujeros en la evidencia de [Prev.GetTitledFirstNameWithDynasty], despejando a ti y a tus vasallos de cualquier fechoría;;;;;;;;;x
EVTDESCraid_events.158;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], I am deeply regretful that your lands have been molested by my men. At the behest of  [FromFrom.GetTitledFirstNameNoRegnal] I have sent you an official delegation to explain what happened, and the responsible individuals have been reprimanded and made aware of your displeasure.\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], estoy profundamente arrepentido de que sus tierras hayan sido saqueadas por mis hombres. A instancias de [FromFrom.GetTitledFirstNameNoRegnal], le he enviado una delegación oficial para explicarle lo que sucedió, y los responsables han sido advertidos y han dicho que no volverá a pasar.\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.158;This explanation would seem satisfactory;;;;Esta explicación es satisfactoria;;;;;;;;;x
EVTDESCraid_events.159;[Root.PrimaryTitle.GetFOA], I am shocked to hear that some of my men took rogue action and raided [FromFromFrom.PrimaryTitle.GetName]. Rest assured I have sent an official delegation to [FromFromFrom.GetTitledFirstNameWithDynasty] to explain what happened, and that [FromFromFrom.GetSheHe] is now satisfied.\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;[Root.PrimaryTitle.GetFOA], me sorprende escuchar que algunos de mis hombres tomaron una acción deshonesta y allanaron [FromFromFrom.PrimaryTitle.GetName]. Tenga la seguridad de que he enviado una delegación oficial a [FromFromFrom.GetTitledFirstNameWithDynasty] para explicar lo que sucedió, y que [FromFromFet.heeth] está ahora satisfecho.\n\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.159;This is good to hear;;;;Escuchar esto es bueno;;;;;;;;;x
EVTDESCraid_events.1591;To the [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], whilst I do not doubt the sincerity of your allegations, I present with this letter irrefutable proof that the men pillaging your lands were not associated with me, my subjects or [FromFrom.GetTitledFirstNameNoRegnal]. Raids can be chaotic, and the bandits mistaken for my subjects were probably just petty pirates.\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Para [GetFromRootCompliment] [Root.GetTitledFirstNameNoRegnal], aunque no dudo de la sinceridad de sus alegaciones, presento con esta carta una prueba irrefutable de que los hombres que saquearon sus tierras no estaban asociados a mí, ni a mis súbditos ni a [FromFrom.GetTitledFirstNameNoRegnal]. Los saqueos pueden ser caóticos, y los bandidos confundidos con mis súbditos probablemente solo eran pequeños piratas.\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.1591;It seems [From.GetSheHe] is correct;;;;Parece que [From.GetSheHe] dice la verdad;;;;;;;;;x
EVTDESCraid_events.1592;[Root.PrimaryTitle.GetFOA], [FromFromFrom.GetTitledFirstNameWithDynasty]'s allegations are clearly false. I accompany with this letter irrefutable proof that the men pillaging [FromFromFrom.PrimaryTitle.GetName] were not associated with me, my subjects or yourself. I have sent this proof to [FromFromFrom.Capital.GetName] which will no doubt close the matter.\n\nSigned,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;Las alegaciones de [Root.PrimaryTitle.GetFOA], [FromFromFet.GetTitledFirstNameWithDynasty] son claramente falsas. Acompañé con esta carta una prueba irrefutable de que los hombres que saquearon [FromFromFrom.PrimaryTitle.GetName] no estaban asociados a mí, ni a mis súbditos ni a usted mismo. He enviado esta prueba a [FromFromFrom.Capital.GetName] que sin duda cerrará el asunto.\n\nFirmado,\n[From.GetTitledFirstNameWithDynastyAndTitle];;;;;;;;;x
EVTOPTAraid_events.1592;This proof seems flimsy, but as long as it clears us!;;;;!Esta prueba parece tiene poca solidez, pero mientras se aclare!;;;;;;;;;x
