kingsguard;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x;
EVTOPTGkingsguard.19;[kg_lc_candidate_7.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_7.GetTitledFirstName] [kg_lc_candidate_7.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_7.GetTitledFirstName] [kg_lc_candidate_7.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTGkingsguard.19B;[kg_lc_candidate_7.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_7.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_7.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
appointed_female_kingsguard;Appointed Female Kingsguard;A nommé une femme à la Garde Royale;;;Mujer nombrada Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.10B;[From.GetTitledFirstNameWithDynasty] looks at you with contempt. 'You must be joking,' [From.GetSheHe] says, 'I will never guard the likes of you.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] vous regarde avec mépris. 'Vous devez plaisanter,' dit-[From.GetSheHe], 'je ne protègerai jamais quelqu'un comme vous.';;;[From.GetTitledFirstNameWithDynasty] te mira con desprecio. 'Debes estar bromeando,' dice, 'Nunca protegeré a alguien como tú.';;;;;;;;;x;
EVTDESCkingsguard.10BREGENT;[From.GetTitledFirstNameWithDynasty] looks at you with contempt. 'You must be joking,' [From.GetSheHe] says, 'I will never guard the the [Root.TopLiege.GetTitle] whilst the likes of you holds power.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] vous regarde avec mépris. 'Vous devez plaisanter,' dit-[From.GetSheHe], 'je ne protègerai jamais le(a) [Root.TopLiege.GetTitle] alors que quelqu'un comme vous est au pouvoir.';;;[From.GetTitledFirstNameWithDynasty] te mira con desprecio. 'Debes estar bromeando,' dice, 'No protegeré al [Root.TopLiege.GetTitle] mientras alguien como tu tenga el poder.';;;;;;;;;x;
EVTDESCkingsguard.10C;[From.GetTitledFirstNameWithDynasty] looks confused. 'My apologies, [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'I fear I would make a poor kingsguard, I bid you seek someone more worthy.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] semble confus. 'Pardonnez moi, [Root.PrimaryTitle.GetFOA],' dit-[From.GetSheHe], 'Je crains de n'être pas à la hauteur de la tâche, je vous implore de bien vouloir choisir quelqu'un de plus digne.';;;[From.GetTitledFirstNameWithDynasty] parece confundido. 'Mis disculpas, [Root.PrimaryTitle.GetFOA],' dice, 'Me temo que sería un pobre Guardia Real, debería ofrecérselo a alguien más digno que yo.';;;;;;;;;x;
EVTDESCkingsguard.10D;[From.GetTitledFirstNameWithDynasty] kneels. '[Root.PrimaryTitle.GetFOA], I appreciate the offer' [From.GetSheHe] says, 'however I feel it would be improper for lady such as myself to be a kingsguard.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] s'agenouille. '[Root.PrimaryTitle.GetFOA], j'apprécie l'offre' dit-[From.GetSheHe], 'Cependant je pense qu'il serait inapproprié pour une dame telle que moi de devenir membre de la garde royale.';;;[From.GetTitledFirstNameWithDynasty] se arrodilla. '[Root.PrimaryTitle.GetFOA], aprecio la oferta' dice, 'sin embargo creo que sería impropio para una dama como yo ser Guardia Real.';;;;;;;;;x;
EVTDESCkingsguard.10E;[From.GetTitledFirstNameWithDynasty] looks like [From.GetSheHe] is about to laugh. 'I am sure your Westerosi guard is a great honour for your kind' [From.GetSheHe] says, 'but a [From.Culture.GetName] such as me has no place guarding you.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] semble être à deux doigts d'éclater de rire. 'Je suis sûr que votre garde ouestrienne est un grand honneur pour les vôtres.' dit-[From.GetSheHe], 'mais un [From.Culture.GetName] tel que moi n'a pas sa place dans une telle confrérie.';;;[From.GetTitledFirstNameWithDynasty] parece a punto de reír. 'Estoy seguro que tu guardia de Poniente será un gran honor para los tuyos' dice, 'pero para mi cultura [From.Culture.GetName] no tiene ningún valor.';;;;;;;;;x;
VTDESCkingsguard.10EREGENT;[From.GetTitledFirstNameWithDynasty] looks like [From.GetSheHe] is about to laugh. 'I am sure your Westerosi guard is a great honour for your kind' [From.GetSheHe] says, 'but a [From.Culture.GetName] such as me has no place guarding your [Root.TopLiege.GetTitle].';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] semble être à deux doigts d'éclater de rire. 'Je suis sûr que votre garde ouestrienne est un grand honneur pour les vôtres.' dit-[From.GetSheHe], 'mais un [From.Culture.GetName] tel que moi n'a pas sa place dans une telle confrérie.';;;[From.GetTitledFirstNameWithDynasty] parece a punto de reír. 'Estoy seguro que tu guardia de Poniente será un gran honor para los tuyos' dice, 'pero para mi cultura [From.Culture.GetName] no tiene ningún valor proteger el [Root.TopLiege.GetTitle].';;;;;;;;;x;
EVTDESCkingsguard.10F;[From.GetTitledFirstNameWithDynasty] is gingerly brought before you. 'My apologies, [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'I am in no fit condition to walk, let alone guard your person.';Des personnes aident [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] à se présenter à vous. 'Veuillez me pardonner, [Root.PrimaryTitle.GetFOA],' dit-[From.GetSheHe], 'Je ne suis même pas capable de marcher, je ne peux donc pas vous protéger.';;;[From.GetTitledFirstNameWithDynasty] se acerca con cautela. 'Mis disculpas, [Root.PrimaryTitle.GetFOA],' dice, 'No estoy en condición de andar, mucho menos para proteger tu persona.';;;;;;;;;x;
EVTDESCkingsguard.10FREGENT;[From.GetTitledFirstNameWithDynasty] is gingerly brought before you. 'My apologies, [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'I am in no fit condition to walk, let alone guard the [Root.TopLiege.GetTitle].';Des personnes aident [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] à se présenter à vous. 'Veuillez me pardonner, [Root.PrimaryTitle.GetFOA],' dit-[From.GetSheHe], 'Je ne suis même pas capable de marcher, je ne peux donc pas protéger le(a)  [Root.TopLiege.GetTitle].';;;[From.GetTitledFirstNameWithDynasty]  se acerca con cautela. 'Mis disculpas, [Root.PrimaryTitle.GetFOA],' dice, 'No estoy en condición de andar, mucho menos para proteger al [Root.TopLiege.GetTitle].';;;;;;;;;x;
EVTDESCkingsguard.10G;[From.GetTitledFirstNameWithDynasty] has a concerned look when [From.GetSheHe] receives your request. 'You do me a great honour [Root.PrimaryTitle.GetFOA],' [From.GetSheHe] says, 'but I fear I cannot give up the pleasures of women for a lifetime.';[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] semble embarassé en apprenant votre demande. 'Vous me faîtes un grand honneur [Root.PrimaryTitle.GetFOA],' dit-[From.GetSheHe], 'mais je crains de ne pas pouvoir me passer des femmes pour le restant de ma vie.';;;[From.GetTitledFirstNameWithDynasty] tiene una mirada de preocupación cuando recibe tu petición. 'Es un gran honor [Root.PrimaryTitle.GetFOA],' dice, 'pero no puedo renunciar a los placeres de las mujeres para toda la vida.';;;;;;;;;x;
TOOLTIPKGDRAGONSLAYER;[This.GetFirstName]'s most famous deed was the slaying of a dragon, an act which won [This.GetHerHim] great renown throughout the realm.; . L'acte le plus prestigieux de [This.GetFirstName] fut d'avoir tué un dragon, une action qui lui a valu une grande renommée à travers tout le royaume.;;; . El acto más famoso de [This.GetFirstName] fue la muerte de un dragón, un acto que le reportó un gran renombre en todo el Reino.;;;;;;;;;x;
TOOLTIPKGTRUTH;Ser [This.GetFirstName] wielded the valyrian steel sword Truth, the ancestral blade of House Rogare;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Vérité, la lame ancestrale de la maison Rogare ;;;Don [This.GetFirstName] blandió la espada de acero valyrio Verdad, la espada ancestral de la Casa Rogare;;;;;;;;;x;
TOOLTIPKGLAMENTATION;Ser [This.GetFirstName] wielded the valyrian steel sword Lamentation, the ancestral blade of House Royce;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Lamentation, la lame ancestrale de la maison Royce ;;;Don [This.GetFirstName] blandió la espada de acero valyrio Lamento, la espada ancestral de la Casa Royce;;;;;;;;;x;
TOOLTIPKGPOISON;Ser [This.GetFirstName] wielded the valyrian steel sword Poison, the ancestral blade of House Vunatis;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Poison, la lame ancestrale de la maison Vunatis ;;;Don [This.GetFirstName] blandió la espada de acero valyrio Veneno, la espada ancestral de la Casa Vunatis;;;;;;;;;x;
opinion_refused_kingsguard;Refused Kingsuard;A refusé de servir dans la Garde Royale;;;Guardia Real rechazado;;;;;;;;;x;
KG_duke;Lord Commander;Lord Commandant;Lord Commander;;Lord Comandante;;;;;;;;;x;
KG_duke_foa;My Lord;Mon Seigneur;;;Mi Señor;;;;;;;;;x;
KG_duke_female;Lady Commander;Lady Commandante;;;Lord Comandante;;;;;;;;;x;
KG_duke_foa_female;My Lady;Ma Dame;My Lady;My Lady;Mi Señora;;;;;;;;;x;
EVTDESCkingsguard.63;The White Sword Tower of The Red Keep contains the chambers of the Kingsguard. It is a slender structure of four stories built into an angle of the castle wall overlooking the bay. A circular white room, known as the Round Room, has whitewashed stone walls hung with white woolen tapestries, and forms the first floor and has a large white table with seven chairs to provide a meeting space for the order. The topmost floor is given over to the Lord Commander's apartments.;La  tour de la Blanche Épée du Donjon Rouge recèlent les appartements de la Garde Royale. Cette structure fine de trois étages est construite dans l'angle du mur du château, avec vue sur la baie. Au rez-de-chaussée, une pièce blanche circulaire, aux murs de pierre chaulée tendus de tapisseries de laine blanche, possède une grande table blanche et sept chaises et sert de salle de réunion pour la Garde. On trouve au premier et au deuxième étage des petites chambres d'appoint pour les six membres de la garde, le lord Commandant ayant l'exclusivité du troisième et dernier étage. ;;;La Torre de la Espada Blanca es la sede de la Guardia Real. Esta esbelta edificación de cuatro pisos se alza en un ángulo de la muralla exterior y desde la que se domina toda la bahía. En el primer piso está la Sala Circular, redonda, de paredes de piedra blanca, tapices de lana blanca y una mesa blanca donde se reúnen. L pisos segundo y tercero albergan las celdas austeras y pequeñas donde duermen los seis hermanos de la Guardia Real y el cuarto piso está ocupado por las espaciosas habitaciones del Lord Comandante.;;;;;;;;;x;
EVTOPTAkingsguard.63;The Lord Commander must hold this tower;Le Lord Commandant doit détenir cette tour;;;El Lord Comandante debe poseer esta torre;;;;;;;;;x;
EVTOPTBkingsguard.63;The Kingsguard is sworn to [Root.GetIronThroneRealmName];Un Garde Royal est lié par serment au Trône de fer;;;Un Guardia Real está unido por juramento al Trono de Hierro;;;;;;;;;x;
EVTDESCkingsguard.64;The Kingsguard must hold no lands;Un Garde Royal ne peut détenir de terres;;;Un Guardia Real no puede poseer tierras;;;;;;;;;x;
EVTDESCkingsguard.10H;[From.GetTitledFirstNameWithDynasty] kneels. '[Root.PrimaryTitle.GetFOA], I appreciate the offer' [From.GetSheHe] says, 'however I have ambitions that will not be served if I were to be sworn as a kingsguard.';[From.GetTitledFirstNameWithDynasty] ploie le genou. '[Root.PrimaryTitle.GetFOA], j’apprécie votre offre' dit-[From.GetSheHe], 'cependant, j’ai des ambitions qui ne peuvent pas être réalisées si je deviens un membre de la Garde Royale.';;;[From.GetTitledFirstNameWithDynasty] se arrodilla. '[Root.PrimaryTitle.GetFOA], agradezco la oferta' [From.GetSheHe] dice: 'sin embargo, tengo ambiciones que no se cumplirán si juro como un Guardia Real.';;;;;;;;;x;
opinion_added_kin_to_kingsguard_pos;Appointed My Kin to The Kingsguard;A nommé un membre de ma famille à la Garde Royale;;;Nombré miembro de la Guardia Real a un familia;;;;;;;;;x;
opinion_added_kin_to_kingsguard_neg;Appointed My Kin to The Kingsguard;A nommé un membre de ma famille à la Garde Royale;;;Nombré miembro de la Guardia Real a un familia;;;;;;;;;x;
appointed_non_faith_kingsguard;Appointed a Non-Faithful to The Kingsguard;A nommé un infidèle à la Garde Royale;;;;Nombré un infiel a la Guardia Real;;;;;;;;;x
appointed_foreign_kingsguard;Appointed a Foreigner to The Kingsguard;A nommé un étranger à la Garde Royale;;;Nombré un extranjero a la Guardia Real;;;;;;;;;x;
appointed_lowborn_kingsguard;Appointed a Lowborn to The Kingsguard;A nommé un roturier à la Garde Royale;;;Nombré un plebeyo a la Guardia Real;;;;;;;;;x;
TOOLTIPappointed_non_faith_kingsguard;Your §YFaith of The Seven§! vassals may be upset at you for appointing a §Y[From.Religion.GetName]§! kingsguard\n;Vos vassaux vénérant la §Yfoi des Sept§! peuvent mal prendre que vous nommiez un fidèle de §Y[From.Religion.GetName]§! Dans la Garde Royale\n;;;Tus vasallos de la §YFe de los Siete§! pueden molestarte por un §Y[From.Religion.GetName]§! de la Guardia real\n;;;;;;;;;x;
TOOLTIPappointed_foreign_kingsguard;Your §Yhome and Andal§! vassals may be upset at you for appointing a §Y[From.Culture.GetName]§! kingsguard\n;Vos vassaux §Ysur vos terres et les Andals§! peuvent mal prendre que vous nommiez un §Y[From.Culture.GetName]§! comme Garde Royal\n;;;Tus vasallos de §Yen sus tierras y los Andalos§! pueden molestarte por un §Y[From.Culture.GetName]§! de la Guardia real\n;;;;;;;;;x;
TOOLTIPappointed_lowborn_kingsguard;Your vassals may be upset at you for appointing a §Ylowborn§! kingsguard\n;Vos vassaux peuvent mal prendre que vous nommiez un §Yroturier§! Comme Garde Royal\n;;;¡Tus vasallos pueden molestarte por nombrar a un §Yplebeyo§! Guardia Real\n;;;;;;;;;x;
EVTDESCkingsguard.10I;[From.GetTitledFirstNameWithDynasty] looks affronted. 'You must be jesting [Root.PrimaryTitle.GetFOA]' [From.GetSheHe] says, 'a [From.GetOnlyDynastyName] will never be sworn to protect a [From.TopLiege.GetOnlyDynastyName]!';[From.GetTitledFirstNameWithDynasty] a l’air énervé. 'Etes-vous en train de faire une farce, [Root.PrimaryTitle.GetFOA] ?' dit-il [From.GetSheHe], 'a [From.GetOnlyDynastyName] ne jurera jamais de protéger un [From.TopLiege.GetOnlyDynastyName] !';;;[From.GetTitledFirstNameWithDynasty] parece estar afrentado. 'Debes estar bromeando [Root.PrimaryTitle.GetFOA]' [From.GetSheHe] dice, 'a [From.GetOnlyDynastyName] nunca se juramentará para proteger a un [From.TopLiege.GetOnlyDynastyName]!;;;;;;;;;x;
TOOLTIPKGBLANK; ; ; ; ; ; ; ; ; ; ; ; ; ;x;
TOOLTIPKGDEATHREASON;[This.GetSheHeCap] [This.GetDeathReason] at the age of [This.GetAgeYears].;;;;[This.GetSheHeCap] [This.GetDeathReason] a la edad de [This.GetAgeYears].;;;;;;;;;x;
TOOLTIPestablish_kingsguardCHARACTER;There is a valid candidate for the kingsguard in the realm;;;;Hay un candidato válido para la Guardia Real en el reino;;;;;;;;;x;
TOOLTIPestablish_kingsguardCIVILWAR;Is NOT in a state of war;;;;NO está en estado de guerra;;;;;;;;;x;
TOOLTIPinteraction.85;[Root.GetTitledFirstNameWithDynasty] is recommended to [This.GetTitledFirstNameNoRegnal]'s council as a kingsguard;;;;[Root.GetTitledFirstNameWithDynasty] recomienda al consejo de [This.GetTitledFirstNameNoRegnal] un Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.86;At a meeting of the small council, [FromFromFrom.GetTitledFirstNameWithDynasty] has recommended that [FromFrom.GetTitledFirstNameWithDynasty] be named a member of The Kingsguard.;;;;En una pequeña reunión del consejo, [FromFromFtr.GetTitledFirstNameWithDynasty] ha recomendado que [FromFrom.GetTitledFirstNameWithDynasty] sea nombrado miembro de la Guardia Real.;;;;;;;;;x;
EVTOPTAkingsguard.86;A fine notion, send the invitation;;;;Una buena idea, envía la invitación;;;;;;;;;x;
EVTOPTBkingsguard.86;I don't think so;;;;No lo creo;;;;;;;;;x;
EVTDESCkingsguard.87;At a meeting of the small council, you recommended that [FromFromFrom.GetTitledFirstNameWithDynasty] be named a member of The Kingsguard. [From.GetTitledFirstNameNoRegnal] rejected your proposal however.;;;;En una pequeña reunión del consejo, usted recomendó que [FromFromFtr.GetTitledFirstNameWithDynasty] sea nombrado miembro de la Guardia Real. Pero el [From.GetTitledFirstNameNoRegnal] rechazó su propuesta, sin embargo.;;;;;;;;;x;
EVTOPTAkingsguard.87;My opinion should be more highly valued!;;;;!Mi opinión debería ser más valorada!;;;;;;;;;x;
EVTDESCkingsguard.88;[FromFrom.GetTitledFirstNameNoRegnal] held a small council meeting to discuss your proposal, and it was agreed that [From.GetTitledFirstNameWithDynasty] be invited to the Kingsguard. [From.GetSheHeCap] duly accepted, and has been sworn in as your newest brother of the Kingsguard.;;;;[FromFrom.GetTitledFirstNameNoRegnal] celebró una pequeña reunión del consejo para discutir su propuesta, y se acordó que [From.GetTitledFirstNameWithDynasty] sea invitado a la Guardia Real. [From.GetSheHeCap] debidamente acepto, y ha sido juramentado como su nuevo hermano de la Guardia Real.;;;;;;;;;x;
EVTOPTAkingsguard.88;[From.GetSheHeCap] will make a fine addition;;;;[From.GetSheHeCap] sera una buena adición;;;;;;;;;x;
EVTDESCkingsguard.89;[FromFrom.GetTitledFirstNameNoRegnal] held a small council meeting to discuss your proposal, and it was agreed that [From.GetTitledFirstNameWithDynasty] be invited to the Kingsguard. [From.GetTitledFirstNameNoRegnal] rejected the opportunity however.;;;;[FromFrom.GetTitledFirstNameNoRegnal] celebró una pequeña reunión del consejo para discutir su propuesta, y se acordó que [From.GetTitledFirstNameWithDynasty] sea invitado a la Guardia Real. [From.GetTitledFirstNameNoRegnal] sin embargo rechazó la oportunidad.;;;;;;;;;x;
EVTOPTAkingsguard.89;The temerity!;;;;¡Que temeridad!;;;;;;;;;x;
opinion_accepted_kingsguard_recommendation;Accepted Kingsguard Recommendation;;;;Recomendación de Guardia Real aceptada;;;;;;;;;x;
opinion_rejected_kingsguard_recommendation;Rejected Kingsguard Recommendation;;;;Recomendación de Guardia Real rechazada;;;;;;;;;x;
TOOLTIPKGSEAFOAM;Ser [This.GetFirstName] wielded the valyrian steel sword Seafoam, the ancestral blade of House Velaryon;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Seafoam, la lame ancestrale de la maison Velaryon ;;;Don [This.GetFirstName] blandió la espada de acero valyrio Seafoam, la espada ancestral de la Casa Velaryon;;;;;;;;;x;
EVTDESCkingsguard.95;Your [From.GetRootRelation], [From.GetTitledFirstNameWithDynasty], has announced [From.GetHerHis] intention to seek the honour of a place on the kingsguard. [From.GetSheHeCap] wishes to renounce marriage in order to fulfil this ambition, and is seeking your approval.;;;;;;;;;;;;;x;
EVTOPTAkingsguard.95;You have my consent;;;;;;;;;;;;;x;
opinion_backed_KG_ambition;Supported Kingsguard Ambition;;;;;;;;;;;;;x;
EVTOPTBflavour_events.41;Absolutely not, you must be wed!;;;;;;;;;;;;;x;
opinion_rejected_KG_ambition;Rejected Kingsguard Ambition;;;;;;;;;;;;;x;
EVTDESCkingsguard.96;An envoy has arrived in [Root.Capital.GetName], bearing word from [From.GetTitledFirstNameWithDynastyNoRegnal]. [From.GetSheHeCap] says the betrothal between [FromFrom.GetTitledFirstNameWithDynastyNoRegnal] and my [FROMs_betrothed.GetRootRelation] [FROMs_betrothed.GetTitledFirstNameWithDynastyNoRegnal] can no longer proceed, due to [FromFrom.GetTitledFirstNameNoRegnal]'s intention to seek membership of the kingsguard.;;;;;;;;;;;;;x;
EVTOPTAkingsguard.96;This is dishonourable!;;;;;;;;;;;;;x;
